#Energy [keV]              Counts per [keV-s]              Error
412              0.000139721                0.000108003
413              -8.06473e-05                0.000101918
414              0.000111968                0.000107835
415              0.000144257                0.000107397
416              -2.12968e-05                0.000103834
417              -6.23757e-05                0.000102773
418              0.000183417                0.00010652
419              -0.000172428                0.000101855
420              9.2088e-06                0.000102397
421              -2.98165e-05                0.000104296
422              -5.28996e-05                0.000104478
423              4.75417e-05                0.000102689
424              -0.000112937                0.000102379
425              -0.000123786                0.000100241
426              6.93867e-05                0.000103112
427              8.72535e-05                0.000100958
428              0.000243454                0.000108539
429              9.79677e-05                0.000102083
430              8.56047e-05                0.000100971
431              -2.33563e-05                0.000103257
432              0.000155259                0.000103419
433              -8.61452e-05                0.000102764
434              0.000108265                0.000104972
435              5.91122e-06                0.000102424
436              -2.30805e-05                0.000102856
437              0.000119666                0.000106242
438              1.55341e-05                0.000100322
439              2.6077e-06                0.000104825
440              -9.6167e-05                9.93962e-05
441              -0.000167476                9.93686e-05
442              7.73548e-05                0.000103445
443              -8.32465e-05                9.72015e-05
444              6.8976e-05                0.000102517
445              4.67203e-05                0.00010149
446              0.000134511                0.000103782
447              0.000121596                0.000103489
448              0.000108958                0.000102795
449              -4.3863e-06                9.94602e-05
450              -8.69548e-05                9.65981e-05
451              0.000177796                0.000101638
452              -9.0669e-05                9.85214e-05
453              0.000231514                0.000103406
454              0.000164048                0.000104925
455              -1.19378e-05                9.72296e-05
456              0.000102093                0.000100836
457              4.0131e-05                9.90905e-05
458              7.11763e-05                0.000101696
459              6.27915e-05                0.000103165
460              -4.47787e-05                9.85537e-05
461              -7.83061e-05                9.96603e-05
462              -1.74358e-05                9.81159e-05
463              -4.13462e-05                9.95603e-05
464              -4.68382e-05                9.79448e-05
465              7.81881e-05                9.98062e-05
466              -0.000111546                9.53132e-05
467              -0.000101242                9.5868e-05
468              -4.49136e-05                9.75088e-05
469              4.0131e-05                9.90905e-05
470              -1.8398e-05                9.83328e-05
471              0.000104979                0.000100201
472              -0.000136829                9.63866e-05
473              3.21569e-05                0.000101204
474              0.000278231                0.000102234
475              0.000594904                0.000112231
476              0.00172313                0.000137619
477              0.0036617                0.000173489
478              0.00585298                0.000206013
479              0.00764723                0.000229365
480              0.00679974                0.000216587
481              0.00481772                0.000190992
482              0.0020927                0.000145605
483              0.00103427                0.000120741
484              0.000458624                0.000105734
485              0.000117079                9.67674e-05
486              0.000109104                9.89305e-05
487              -0.000104258                9.28515e-05
488              -8.02128e-05                9.24162e-05
489              0.000175743                9.85819e-05
490              0.000148271                9.54327e-05
491              0.000110073                9.61895e-05
492              -4.75188e-05                9.51897e-05
